#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+--------------+-------------------+------+------+----------------+---------------+
| 378985:9474  | 04/06/24 00:24:34 | 768  | 768  | 0.000261115    | 0.000257505   |
| 378993:9475  | 04/06/24 08:01:17 | 80   | 79   | 0.000081324    | 0.000077929   |
| 379006:9475  | 04/06/24 10:52:20 | 23   | 23   | 0.000035652    | 0.000034931   |
| 379011:9475  | 04/06/24 11:58:18 | 399  | 399  | 0.000523790    | 0.000473617   |
| 379012:9475  | 04/06/24 14:37:43 | 73   | 73   | 0.000085667    | 0.000084497   |
| 379028:9476  | 04/06/24 19:56:15 | 534  | 534  | 0.000787844    | 0.000769421   |
| 379031:9476  | 04/07/24 00:02:34 | 289  | 289  | 0.000394549    | 0.000386316   |
| 379058:9479  | 04/07/24 09:34:30 | 826  | 826  | 0.010168407    | 0.009903851   |
| 379075:9483  | 04/08/24 02:29:09 | 375  | 375  | 0.004250985    | 0.004152644   |
| 379154:9485  | 04/08/24 22:13:02 | 1049 | 1049 | 0.011659642    | 0.011379269   |
| 379238:9496  | 04/10/24 16:44:48 | 286  | 286  | 0.017708031    | 0.017092983   |
| 379243:9497  | 04/10/24 20:30:21 | 299  | 299  | 0.019717949    | 0.019391863   |
| 379252:9499  | 04/11/24 01:57:11 | 644  | 644  | 0.046245709    | 0.045166195   |
| 379253:9499  | 04/11/24 06:08:54 | 104  | 104  | 0.007997184    | 0.007887864   |
| 379338:9510  | 04/12/24 14:27:21 | 170  | 170  | 0.012944267    | 0.011714077   |
| 379355:9512  | 04/13/24 03:39:10 | 20   | 20   | 0.003039711    | 0.002889188   |
| 379416:9517  | 04/14/24 17:34:18 | 195  | 195  | 0.042302619    | 0.039739297   |
| 379420:9518  | 04/14/24 21:02:55 | 516  | 516  | 0.112231007    | 0.105982736   |
| 379425:9519  | 04/15/24 02:03:52 | 203  | 203  | 0.038972168    | 0.036683226   |
| 379433:9520  | 04/15/24 05:13:11 | 21   | 21   | 0.001452341    | 0.001323472   |
| 379442:9521  | 04/15/24 07:07:46 | 269  | 269  | 0.055827096    | 0.052547244   |
| 379454:9523  | 04/15/24 11:25:22 | 498  | 498  | 0.108591617    | 0.098754079   |
| 379456:9523  | 04/15/24 14:47:09 | 1199 | 1199 | 0.213915279    | 0.200976659   |
| 379470:9525  | 04/16/24 00:38:26 | 794  | 794  | 0.175964192    | 0.165609072   |
| 379530:9530  | 04/17/24 01:12:13 | 593  | 593  | 0.192173307    | 0.179570531   |
| 379613:9537  | 04/18/24 03:20:17 | 120  | 120  | 0.032001560    | 0.030231738   |
| 379617:9537  | 04/18/24 04:23:35 | 664  | 664  | 0.226085891    | 0.212309080   |
| 379618:9537  | 04/18/24 08:43:50 | 360  | 360  | 0.102753436    | 0.098972816   |
| 379660:9539  | 04/18/24 16:49:04 | 1507 | 1507 | 0.437480093    | 0.421732982   |
| 379661:9539  | 04/19/24 02:37:20 | 406  | 406  | 0.081023281    | 0.079938078   |
| 379729:9543  | 04/19/24 17:38:45 | 1465 | 1465 | 0.461538358    | 0.447410321   |
| 379765:9548  | 04/20/24 14:03:25 | 1695 | 1695 | 0.558875045    | 0.531074968   |
| 379774:9549  | 04/21/24 03:13:58 | 157  | 157  | 0.052273070    | 0.049837677   |
| 379866:9559  | 04/23/24 20:37:55 | 1347 | 1347 | 0.282723363    | 0.275244043   |
| 379984:9562  | 04/25/24 11:47:58 | 913  | 913  | 0.239635018    | 0.232981499   |
| 380001:9564  | 04/25/24 20:39:17 | 691  | 691  | 0.240391223    | 0.232005114   |
| 380005:9565  | 04/26/24 03:10:19 | 1062 | 1062 | 0.369117123    | 0.353810129   |
| 380007:9565  | 04/26/24 10:12:08 | 129  | 129  | 0.037089385    | 0.035264726   |
| 380029:9566  | 04/26/24 15:02:20 | 55   | 55   | 0.011321099    | 0.010437277   |
| 380030:9566  | 04/26/24 15:37:30 | 346  | 346  | 0.146627263    | 0.139137837   |
| 380032:9566  | 04/26/24 19:11:02 | 19   | 19   | 0.007326907    | 0.006893191   |
| 380033:9566  | 04/26/24 19:21:25 | 53   | 53   | 0.020872205    | 0.019916816   |
| 380043:9567  | 04/26/24 22:44:31 | 900  | 900  | 0.361828499    | 0.344192147   |
| 380049:9568  | 04/27/24 07:10:37 | 871  | 871  | 0.355508086    | 0.335419814   |
| 380051:9568  | 04/27/24 12:55:48 | 735  | 735  | 0.227742443    | 0.219469057   |
| 380052:9568  | 04/27/24 17:45:43 | 12   | 12   | 0.003085718    | 0.002885007   |
| 380053:9568  | 04/27/24 17:57:47 | 128  | 128  | 0.031777842    | 0.030788647   |
| 380056:9568  | 04/27/24 18:55:05 | 168  | 168  | 0.037444612    | 0.036019110   |
| 380066:9569  | 04/27/24 22:17:19 | 552  | 552  | 0.221684628    | 0.210980837   |
| 380074:9570  | 04/28/24 06:24:04 | 1306 | 1306 | 0.490260583    | 0.469241636   |
| 380115:9573  | 04/29/24 09:42:28 | 1792 | 1792 | 0.636557569    | 0.611711274   |
| 380126:9574  | 04/29/24 23:29:59 | 952  | 952  | 0.408613702    | 0.382442469   |
| 380127:9574  | 04/30/24 05:43:19 | 535  | 535  | 0.176361715    | 0.170658997   |
| 380128:9574  | 04/30/24 09:15:04 | 387  | 387  | 0.103247444    | 0.100621332   |
| 380195:9575  | 04/30/24 23:30:14 | 7    | 7    | 0.003209463    | 0.002949139   |
| 380197:9575  | 05/01/24 00:09:50 | 357  | 357  | 0.164541940    | 0.155632782   |
| 380235:9579  | 05/01/24 17:29:48 | 256  | 256  | 0.102301840    | 0.095850024   |
| 380236:9579  | 05/01/24 19:12:09 | 57   | 57   | 0.026299129    | 0.023499726   |
| 380238:9579  | 05/01/24 20:06:47 | 25   | 25   | 0.011489527    | 0.010682712   |
| 380306:9585  | 05/02/24 19:54:33 | 246  | 246  | 0.099136358    | 0.091770728   |
