#Data tag : online , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+--------------+-------------------+------+------+----------------+---------------+
| 401630:11472 | 03/07/26 23:02:35 | 67   | 67   | 0.000098657    | 0.000095212   |
| 401642:11472 | 03/08/26 02:21:57 | 797  | 797  | 0.001545252    | 0.001527592   |
| 401661:11474 | 03/08/26 12:01:00 | 79   | 79   | 0.000828197    | 0.000771052   |
| 401663:11474 | 03/08/26 16:30:01 | 105  | 104  | 0.001596302    | 0.001506616   |
| 401664:11474 | 03/08/26 20:37:40 | 50   | 50   | 0.000822838    | 0.000750028   |
| 401668:11475 | 03/08/26 22:57:16 | 69   | 69   | 0.000668779    | 0.000623171   |
| 401669:11475 | 03/08/26 23:28:25 | 397  | 397  | 0.006245953    | 0.005622936   |
| 401670:11475 | 03/09/26 02:05:52 | 224  | 224  | 0.003515048    | 0.003361564   |
| 401671:11475 | 03/09/26 03:34:47 | 775  | 775  | 0.012617792    | 0.012262461   |
| 401691:11477 | 03/09/26 13:25:49 | 36   | 36   | 0.002954224    | 0.002682075   |
| 401693:11477 | 03/09/26 15:54:52 | 999  | 999  | 0.091958124    | 0.088234202   |
| 401699:11479 | 03/10/26 01:04:18 | 1281 | 1281 | 0.113759778    | 0.108916797   |
| 401730:11481 | 03/10/26 16:54:36 | 27   | 27   | 0.004763531    | 0.004220542   |
| 401733:11481 | 03/10/26 19:04:23 | 1053 | 1053 | 0.186089071    | 0.177749608   |
| 401803:11496 | 03/12/26 03:00:09 | 1405 | 1405 | 0.246293587    | 0.236488390   |
| 401844:11500 | 03/12/26 20:55:39 | 500  | 500  | 0.120990786    | 0.117046637   |
| 401848:11501 | 03/13/26 02:01:42 | 1384 | 1384 | 0.337886444    | 0.322485887   |
| 401878:11506 | 03/14/26 01:46:57 | 372  | 372  | 0.079768463    | 0.076512194   |
| 401882:11508 | 03/14/26 06:32:26 | 1281 | 1281 | 0.306578022    | 0.292064212   |
| 401899:11510 | 03/14/26 18:02:07 | 34   | 34   | 0.005476930    | 0.005125967   |
| 401916:11511 | 03/14/26 22:05:56 | 146  | 146  | 0.044570998    | 0.040760692   |
| 401917:11511 | 03/14/26 23:06:26 | 10   | 10   | 0.003947455    | 0.003056672   |
| 401918:11511 | 03/14/26 23:14:59 | 162  | 162  | 0.063568379    | 0.057774389   |
| 401919:11511 | 03/15/26 00:21:27 | 1247 | 1247 | 0.477548706    | 0.455886404   |
| 401951:11512 | 03/15/26 10:32:09 | 37   | 37   | 0.011225470    | 0.009376041   |
| 401952:11512 | 03/15/26 10:49:22 | 221  | 221  | 0.086658341    | 0.081381638   |
| 401961:11513 | 03/15/26 14:45:29 | 274  | 274  | 0.093881728    | 0.088792291   |
| 401971:11514 | 03/15/26 18:44:44 | 121  | 121  | 0.043478023    | 0.040307519   |
| 401972:11514 | 03/15/26 19:33:56 | 32   | 32   | 0.012536925    | 0.010920188   |
| 401973:11514 | 03/15/26 19:49:05 | 670  | 670  | 0.263088774    | 0.251107375   |
| 401976:11515 | 03/16/26 02:01:04 | 142  | 142  | 0.052384259    | 0.048929678   |
| 402039:11521 | 03/16/26 19:42:23 | 104  | 104  | 0.038022749    | 0.032895993   |
| 402040:11521 | 03/16/26 20:24:49 | 525  | 525  | 0.206005882    | 0.194338159   |
| 402046:11523 | 03/17/26 03:41:51 | 1966 | 1966 | 0.723320559    | 0.689964583   |
| 402069:11524 | 03/17/26 18:56:12 | 1867 | 1867 | 0.938132573    | 0.894215267   |
| 402070:11524 | 03/18/26 07:04:13 | 166  | 166  | 0.062933372    | 0.059941999   |
| 402115:11529 | 03/19/26 07:00:32 | 390  | 390  | 0.185260632    | 0.175734265   |
| 402143:11532 | 03/19/26 16:27:07 | 879  | 879  | 0.443683405    | 0.418668730   |
| 402144:11532 | 03/19/26 22:11:12 | 1049 | 1049 | 0.490137499    | 0.467575578   |
| 402171:11534 | 03/20/26 15:36:15 | 561  | 561  | 0.267110164    | 0.253491027   |
| 402172:11534 | 03/20/26 19:16:44 | 28   | 28   | 0.014375878    | 0.012895744   |
| 402173:11534 | 03/20/26 19:30:04 | 714  | 714  | 0.366251245    | 0.342517771   |
| 402174:11534 | 03/21/26 00:10:55 | 950  | 950  | 0.406209610    | 0.389887928   |
| 402189:11535 | 03/21/26 09:59:34 | 46   | 46   | 0.013310491    | 0.012701123   |
| 402205:11539 | 03/22/26 00:44:43 | 1332 | 1332 | 0.673969519    | 0.632754046   |
| 402206:11539 | 03/22/26 09:31:12 | 325  | 325  | 0.165677105    | 0.156508028   |
| 402207:11539 | 03/22/26 11:41:21 | 476  | 476  | 0.190104607    | 0.181280129   |
| 402221:11541 | 03/22/26 16:55:26 | 1601 | 1601 | 0.803700186    | 0.762598369   |
| 402222:11541 | 03/23/26 03:27:46 | 700  | 700  | 0.264441511    | 0.252322323   |
| 402243:11542 | 03/23/26 10:24:40 | 300  | 300  | 0.149306106    | 0.139930842   |
| 402244:11542 | 03/23/26 12:23:39 | 1982 | 1982 | 0.971289720    | 0.922282336   |
| 402247:11543 | 03/24/26 03:22:29 | 1850 | 1850 | 0.924896413    | 0.882530955   |
| 402248:11543 | 03/24/26 15:31:47 | 16   | 16   | 0.007106956    | 0.004420405   |
| 402249:11543 | 03/24/26 15:39:49 | 17   | 17   | 0.007414364    | 0.006682353   |
| 402262:11544 | 03/24/26 18:34:03 | 646  | 646  | 0.326748900    | 0.309979054   |
| 402263:11544 | 03/24/26 23:21:47 | 542  | 542  | 0.277915461    | 0.264276777   |
| 402330:11549 | 03/25/26 22:21:05 | 1513 | 1513 | 0.754519481    | 0.709525412   |
| 402360:11550 | 03/26/26 12:40:02 | 778  | 778  | 0.395140921    | 0.374836304   |
| 402368:11551 | 03/26/26 20:46:43 | 98   | 98   | 0.039179478    | 0.035550987   |
| 402369:11551 | 03/26/26 21:27:07 | 4    | 4    | 0.001987044    | 0.000343197   |
| 402370:11551 | 03/26/26 21:30:47 | 8    | 8    | 0.004028460    | 0.000814578   |
| 402371:11551 | 03/26/26 21:36:48 | 177  | 177  | 0.090336446    | 0.084288644   |
| 402372:11551 | 03/26/26 22:56:45 | 1393 | 1393 | 0.714440782    | 0.676861308   |
| 402399:11554 | 03/27/26 14:05:42 | 19   | 19   | 0.007613121    | 0.000000184   |
| 402400:11554 | 03/27/26 14:15:54 | 19   | 19   | 0.009366203    | 0.007284137   |
| 402419:11555 | 03/27/26 16:47:47 | 473  | 473  | 0.231242748    | 0.218052768   |
| 402424:11555 | 03/27/26 20:08:20 | 691  | 691  | 0.354621122    | 0.338132829   |
| 402435:11556 | 03/28/26 02:45:30 | 1085 | 1085 | 0.553710381    | 0.528031172   |
| 402446:11557 | 03/28/26 12:10:09 | 429  | 429  | 0.207564907    | 0.196001764   |
| 402456:11559 | 03/28/26 18:20:38 | 4    | 4    | 0.002050017    | 0.000247199   |
| 402457:11559 | 03/28/26 18:24:17 | 5    | 5    | 0.002533523    | 0.001069353   |
| 402471:11560 | 03/28/26 22:17:32 | 494  | 494  | 0.252151494    | 0.239424346   |
| 402472:11560 | 03/29/26 01:44:21 | 333  | 333  | 0.170834401    | 0.161963827   |
| 402490:11562 | 03/29/26 08:39:11 | 565  | 565  | 0.287776614    | 0.273487393   |
| 402512:11564 | 03/29/26 17:31:36 | 1663 | 1663 | 0.850880757    | 0.796748982   |
| 402513:11564 | 03/30/26 04:21:45 | 567  | 567  | 0.273178523    | 0.260075242   |
| 403441:11670 | 05/01/26 16:57:54 | 104  | 104  | 0.048838348    | 0.046002897   |
| 403442:11670 | 05/01/26 17:40:33 | 40   | 40   | 0.019888669    | 0.018308410   |
| 403443:11670 | 05/01/26 17:58:54 | 21   | 21   | 0.010426664    | 0.008987370   |
| 403449:11671 | 05/01/26 21:56:38 | 113  | 113  | 0.047276729    | 0.042681650   |
| 403451:11671 | 05/01/26 22:49:00 | 214  | 214  | 0.107013294    | 0.088925548   |
| 403457:11671 | 05/02/26 00:39:27 | 319  | 319  | 0.160372971    | 0.151086838   |
| 403461:11672 | 05/02/26 04:43:10 | 2058 | 2058 | 1.030016604    | 0.987470883   |
| 403489:11674 | 05/02/26 22:48:58 | 532  | 532  | 0.266820386    | 0.254005922   |
| 403493:11675 | 05/03/26 04:58:01 | 2137 | 2137 | 1.057358080    | 1.008283159   |
| 403567:11707 | 05/07/26 01:05:33 | 842  | 841  | 0.427249348    | 0.402060322   |
| 403572:11707 | 05/07/26 06:52:23 | 139  | 139  | 0.071271702    | 0.066608047   |
| 403629:11711 | 05/07/26 23:56:42 | 44   | 44   | 0.021172882    | 0.018162888   |
| 403634:11712 | 05/08/26 04:39:13 | 1385 | 1385 | 0.709012066    | 0.668724885   |
| 403635:11712 | 05/08/26 13:41:47 | 64   | 64   | 0.032833590    | 0.030212177   |
| 403663:11715 | 05/08/26 19:55:34 | 2340 | 2340 | 1.172306281    | 1.112870506   |
| 403685:11717 | 05/09/26 16:04:27 | 250  | 250  | 0.124846106    | 0.115632419   |
| 403686:11717 | 05/09/26 17:44:55 | 660  | 660  | 0.338352608    | 0.316517584   |
| 403687:11717 | 05/09/26 22:04:35 | 403  | 403  | 0.206721425    | 0.186672812   |
| 403688:11717 | 05/10/26 00:44:11 | 88   | 88   | 0.045166928    | 0.036116870   |
| 403696:11718 | 05/10/26 03:44:35 | 325  | 324  | 0.165552680    | 0.155519036   |
| 403699:11718 | 05/10/26 05:56:41 | 537  | 537  | 0.275327988    | 0.262218463   |
| 403716:11720 | 05/10/26 15:05:30 | 1047 | 1047 | 0.535676965    | 0.505502453   |
| 403717:11720 | 05/10/26 21:55:51 | 446  | 446  | 0.228718865    | 0.212939990   |
| 403718:11720 | 05/11/26 00:50:43 | 497  | 497  | 0.253071931    | 0.238911877   |
| 403747:11723 | 05/11/26 10:17:22 | 157  | 157  | 0.071635427    | 0.062524729   |
| 403751:11723 | 05/11/26 11:42:19 | 759  | 759  | 0.389220244    | 0.368457426   |
| 403774:11724 | 05/11/26 22:54:12 | 124  | 124  | 0.063432310    | 0.049887432   |
| 403775:11724 | 05/12/26 00:06:19 | 1840 | 1840 | 0.933083242    | 0.888964261   |
| 403811:11725 | 05/12/26 17:34:14 | 404  | 404  | 0.206355755    | 0.194531122   |
| 403818:11726 | 05/12/26 23:12:16 | 1972 | 1972 | 1.008740649    | 0.940192106   |
| 403867:11733 | 05/14/26 13:22:16 | 939  | 939  | 0.470327716    | 0.445336571   |
+--------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 57    | 107  | 64147 | 64144 | 27.295916618      | 25.793790086     |
+-------+------+-------+-------+-------------------+------------------+

Warning: problems found in merging -i and --normtag selections:
  in run 401663 [[1, 68], [70, 118], [120, 638]] is not a superset of [[1, 19], [45, 50], [52, 133]]
  in run 403461 [[17, 2077]] is not a superset of [[19, 1668], [1670, 2078]]
#Check JSON:
#(run,ls) in json but not in results: []
