[run1, run2] | name = [year][era]-nib[N]-fib[M] | lum(/fb) |  start and end time  | runs  | number of LS
[355374, 355769]  |    2022B-nib1-fib1   |    0.09656 fb^-1  |   274342 to  285348  |   19  |  4638
[355862, 356576]  |    2022C-nib1-fib1   |      1.049 fb^-1  |   287652 to  307031  |   49  |  9767
[356578, 356947]  |    2022C-nib1-fib2   |     0.8965 fb^-1  |   307119 to  313726  |   19  |  4452
[356948, 357268]  |    2022C-nib1-fib3   |      1.136 fb^-1  |   313863 to  319414  |   22  |  4588
[357271, 357401]  |    2022C-nib1-fib4   |      1.009 fb^-1  |   319450 to  322257  |    8  |  3745
[357406, 357482]  |    2022C-nib1-fib5   |     0.9319 fb^-1  |   322727 to  326088  |   10  |  3428
[357538, 357732]  |    2022D-nib1-fib1   |      1.149 fb^-1  |   326677 to  333241  |   18  |  4393
[357734, 357802]  |    2022D-nib1-fib2   |     0.8726 fb^-1  |   333304 to  335339  |   13  |  2932
[357803, 357900]  |    2022D-nib1-fib3   |     0.9461 fb^-1  |   335405 to  337478  |   14  |  3583
[359569, 359751]  |    2022E-nib1-fib1   |       1.46 fb^-1  |   391120 to  396780  |   18  |  7097
[359762, 359903]  |    2022E-nib1-fib2   |     0.9993 fb^-1  |   397395 to  401068  |   15  |  4330
[359998, 360019]  |    2022E-nib1-fib3   |      1.053 fb^-1  |   402738 to  403913  |    3  |  3418
[360075, 360126]  |    2022E-nib1-fib4   |     0.8197 fb^-1  |   405881 to  407221  |    5  |  2466
[360127, 360327]  |    2022E-nib1-fib5   |      1.475 fb^-1  |   407366 to  411866  |   10  |  4378
[360390, 360490]  |    2022F-nib1-fib1   |       1.46 fb^-1  |   413069 to  415918  |   16  |  4679
[360491, 360820]  |    2022F-nib1-fib2   |     0.8045 fb^-1  |   416383 to  421308  |    7  |  2319
[360825, 360921]  |    2022F-nib1-fib3   |      1.201 fb^-1  |   421698 to  424637  |   14  |  3890
[360927, 360948]  |    2022F-nib1-fib4   |      1.038 fb^-1  |   424867 to  426122  |    6  |  2883
[360950, 361045]  |    2022F-nib1-fib5   |     0.7359 fb^-1  |   426173 to  427735  |    7  |  2705
[361050, 361197]  |    2022F-nib1-fib6   |      1.234 fb^-1  |   428124 to  430318  |   14  |  4107
[361223, 361239]  |    2022F-nib1-fib7   |     0.6912 fb^-1  |   431361 to  431790  |    2  |  1751
[361240, 361297]  |    2022F-nib1-fib8   |     0.8499 fb^-1  |   432202 to  433209  |    6  |  2402
[361303, 361303]  |    2022F-nib1-fib9   |     0.7635 fb^-1  |   433803 to  433803  |    1  |  2240
[361318, 361400]  |    2022F-nib1-fib10  |     0.9985 fb^-1  |   434844 to  437360  |   10  |  2553
[361417, 361443]  |    2022F-nib1-fib11  |       1.38 fb^-1  |   438024 to  438851  |    2  |  3896
[361468, 361468]  |    2022F-nib1-fib12  |     0.6966 fb^-1  |   439895 to  439895  |    1  |  1881
[361475, 361512]  |    2022F-nib1-fib13  |      1.057 fb^-1  |   440777 to  441882  |    2  |  2768
[361569, 361957]  |    2022F-nib1-fib14  |      1.154 fb^-1  |   443397 to  454054  |    5  |  3317
[361971, 362063]  |    2022F-nib1-fib15  |      1.343 fb^-1  |   454671 to  457786  |   10  |  3703
[362064, 362091]  |    2022F-nib1-fib16  |      0.835 fb^-1  |   457875 to  458707  |    3  |  2537
[362104, 362154]  |    2022F-nib1-fib17  |      1.071 fb^-1  |   459437 to  460504  |    7  |  2801
[362159, 362167]  |    2022F-nib1-fib18  |     0.4699 fb^-1  |   460942 to  461168  |    5  |  1169
[362437, 362616]  |    2022G-nib1-fib1   |     0.8655 fb^-1  |   467273 to  471405  |    6  |  2204
[362617, 362696]  |    2022G-nib1-fib2   |      1.255 fb^-1  |   471547 to  473932  |    8  |  3386
[362698, 362760]  |    2022G-nib1-fib3   |     0.9657 fb^-1  |   474610 to  476656  |    7  |  2659
[366727, 367079]  |    2023B-nib1-fib1   |     0.6404 fb^-1  |   693974 to  705831  |   21  |  6961
[367095, 367231]  |    2023C-nib1-fib1   |      1.013 fb^-1  |   706289 to  709908  |   17  |  5073
[367232, 367269]  |    2023C-nib1-fib2   |     0.8626 fb^-1  |   709919 to  711693  |    8  |  3116
[367270, 367337]  |    2023C-nib1-fib3   |      1.034 fb^-1  |   711708 to  713569  |    8  |  3739
[367355, 367515]  |    2023C-nib1-fib4   |      1.433 fb^-1  |   714330 to  718898  |    8  |  4372
[367516, 367619]  |    2023C-nib1-fib5   |      1.271 fb^-1  |   719148 to  721939  |    7  |  3536
[367661, 367696]  |    2023C-nib1-fib6   |     0.9516 fb^-1  |   722784 to  723751  |    7  |  2767
