Category;Source;Variable;Mean;MeanError
2022C;data;RhoAll;24.42615619;0.00544100
2022C;mc;RhoAll;26.18278056;0.00134685
2022C;mcpuoff;RhoAll;26.23701611;0.00139806
2022C;data;Rho_C;25.87644888;0.00592773
2022C;mc;Rho_C;25.94576327;0.00131576
2022C;mcpuoff;Rho_C;26.00584506;0.00137172
2022C;data;Rho_CCPU;17.19815427;0.00474083
2022C;mc;Rho_CCPU;18.11266313;0.00106344
2022C;mcpuoff;Rho_CCPU;18.15771408;0.00111297
2022C;data;NPV;28.54418717;0.00596315
2022C;mc;NPV;30.68466880;0.00134875
2022C;mcpuoff;NPV;30.76850396;0.00135430
2022C;data;NPVGood;26.21867378;0.00558788
2022C;mc;NPVGood;28.30453735;0.00127129
2022C;mcpuoff;NPVGood;28.37825129;0.00128001
2022C;data;Mu;37.5842;3.43254
2022C;mc;Mu;37.6729;0.00134405
2022C;mcpuoff;Mu;37.5987;0.00145152
2022D;data;RhoAll;24.48087819;0.00712655
2022D;mc;RhoAll;26.18278056;0.00134685
2022D;mcpuoff;RhoAll;26.30832250;0.00134695
2022D;data;Rho_C;25.90038093;0.00769059
2022D;mc;Rho_C;25.94576327;0.00131576
2022D;mcpuoff;Rho_C;26.06935273;0.00131728
2022D;data;Rho_CCPU;17.03147661;0.00611717
2022D;mc;Rho_CCPU;18.11266313;0.00106344
2022D;mcpuoff;Rho_CCPU;18.20907498;0.00106648
2022D;data;NPV;28.09519096;0.00777008
2022D;mc;NPV;30.68466880;0.00134875
2022D;mcpuoff;NPV;30.83859854;0.00133212
2022D;data;NPVGood;25.82747934;0.00726430
2022D;mc;NPVGood;28.30453735;0.00127129
2022D;mcpuoff;NPVGood;28.44602200;0.00125706
2022D;data;Mu;37.6718;5.09402
2022D;mc;Mu;37.7887;0.00139975
2022D;mcpuoff;Mu;37.5987;0.00145152
2022E;data;RhoAll;25.34750906;0.00546338
2022E;mc;RhoAll;26.60905523;0.00639738
2022E;mcpuoff;RhoAll;28.28165594;0.00760910
2022E;data;Rho_C;26.39009693;0.00581443
2022E;mc;Rho_C;26.50405372;0.00625599
2022E;mcpuoff;Rho_C;28.09905536;0.00741783
2022E;data;Rho_CCPU;18.10793900;0.00467833
2022E;mc;Rho_CCPU;18.19500700;0.00501229
2022E;mcpuoff;Rho_CCPU;19.44453353;0.00595456
2022E;data;NPV;30.02920150;0.00618681
2022E;mc;NPV;30.90177301;0.00636863
2022E;mcpuoff;NPV;32.80042132;0.00758669
2022E;data;NPVGood;27.58949625;0.00576280
2022E;mc;NPVGood;28.50951200;0.00600293
2022E;data;Mu;40.0063;4.14879
2022E;mc;Mu;40.3866;0.00827747
2022E;mcpuoff;Mu;37.8158;0.00683894
2022F;data;RhoAll;30.31651796;0.00318525
2022F;mc;RhoAll;26.60905523;0.00639738
2022F;mcpuoff;RhoAll;32.44227799;0.01070692
2022F;data;Rho_C;33.56099011;0.00352544
2022F;mc;Rho_C;26.50405372;0.00625599
2022F;mcpuoff;Rho_C;32.06512967;0.01044763
2022F;data;Rho_CCPU;20.73462690;0.00275624
2022F;mc;Rho_CCPU;18.19500700;0.00501229
2022F;mcpuoff;Rho_CCPU;22.55351995;0.00847168
2022F;data;NPV;34.95792688;0.00364477
2022F;mc;NPV;30.90177301;0.00636863
2022F;mcpuoff;NPV;37.51843363;0.01027707
2022F;data;NPVGood;31.99998842;0.00338097
2022F;mc;NPVGood;28.50951200;0.00600293
2022F;mcpuoff;NPVGood;34.70316620;0.00971107
2022F;data;Mu;46.5312;2.03337
2022F;mc;Mu;46.7895;0.010253
2022F;mcpuoff;Mu;37.8158;0.00683894
2022G;data;RhoAll;32.24664844;0.00749318
2022G;mc;RhoAll;26.60905523;0.00639738
2022G;mcpuoff;RhoAll;34.26284421;0.02098102
2022G;data;Rho_C;35.86540368;0.00828155
2022G;mc;Rho_C;26.50405372;0.00625599
2022G;mcpuoff;Rho_C;33.78945726;0.02042847
2022G;data;Rho_CCPU;21.87974177;0.00654650
2022G;mc;Rho_CCPU;18.19500700;0.00501229
2022G;mcpuoff;Rho_CCPU;23.90774861;0.01662671
2022G;data;NPV;36.68980132;0.00861742
2022G;mc;NPV;30.90177301;0.00636863
2022G;mcpuoff;NPV;39.55805735;0.01996839
2022G;data;NPVGood;33.58298366;0.00796490
2022G;mc;NPVGood;28.50951200;0.00600293
2022G;mcpuoff;NPVGood;36.61267616;0.01886461
2022G;data;Mu;49.3578;4.89898
2022G;mc;Mu;49.5885;0.0197169
2022G;mcpuoff;Mu;37.8158;0.00683894
2023Cv1;data;RhoAll;28.27911075;0.00641126
2023Cv1;mc;RhoAll;34.14891142;0.00128985
2023Cv1;mcpuoff;RhoAll;31.02087755;0.00146745
2023Cv1;data;Rho_C;29.57285427;0.00697091
2023Cv1;mc;Rho_C;34.42736760;0.00125659
2023Cv1;mcpuoff;Rho_C;31.43467171;0.00143678
2023Cv1;data;Rho_CCPU;21.13176990;0.00572779
2023Cv1;mc;Rho_CCPU;24.61665431;0.00104853
2023Cv1;mcpuoff;Rho_CCPU;22.18908772;0.00119693
2023Cv1;data;NPV;34.70184303;0.00746470
2023Cv1;mc;NPV;39.54059162;0.00128815
2023Cv1;mcpuoff;NPV;36.03096609;0.00144997
2023Cv1;data;NPVGood;31.95238738;0.00699749
2023Cv1;mc;NPVGood;36.82789099;0.00121958
2023Cv1;mcpuoff;NPVGood;33.52168994;0.00137777
2023Cv1;data;Mu;45.8585;4.94904
2023Cv1;mc;Mu;46.1707;0.00164999
2023Cv1;mcpuoff;Mu;51.2595;0.00149121
2023Cv2;data;RhoAll;29.70994319;0.01112324
2023Cv2;mc;RhoAll;34.14891142;0.00128985
2023Cv2;mcpuoff;RhoAll;32.00053439;0.00139626
2023Cv2;data;Rho_C;30.70059600;0.01212868
2023Cv2;mc;Rho_C;34.42736760;0.00125659
2023Cv2;mcpuoff;Rho_C;32.37877086;0.00137095
2023Cv2;data;Rho_CCPU;21.88118071;0.00993339
2023Cv2;mc;Rho_CCPU;24.61665431;0.00104853
2023Cv2;mcpuoff;Rho_CCPU;22.95667967;0.00114723
2023Cv2;data;NPV;36.16262085;0.01290636
2023Cv2;mc;NPV;39.54059162;0.00128815
2023Cv2;mcpuoff;NPV;37.12708561;0.00134298
2023Cv2;data;NPVGood;33.24924690;0.01205855
2023Cv2;mc;NPVGood;36.82789099;0.00121958
2023Cv2;mcpuoff;NPVGood;34.56156854;0.00127857
2023Cv2;data;Mu;47.5193;7.90876
2023Cv2;mc;Mu;47.7465;0.00143272
2023Cv2;mcpuoff;Mu;51.2595;0.00149121
2023Cv3;data;RhoAll;30.02271798;0.01074889
2023Cv3;mc;RhoAll;34.14891142;0.00128985
2023Cv3;mcpuoff;RhoAll;32.46573330;0.00147619
2023Cv3;data;Rho_C;30.98525394;0.01153729
2023Cv3;mc;Rho_C;34.42736760;0.00125659
2023Cv3;mcpuoff;Rho_C;32.81432071;0.00144506
2023Cv3;data;Rho_CCPU;22.06622165;0.00940503
2023Cv3;mc;Rho_CCPU;24.61665431;0.00104853
2023Cv3;mcpuoff;Rho_CCPU;23.31336135;0.00120549
2023Cv3;data;NPV;36.93887018;0.01278525
2023Cv3;mc;NPV;39.54059162;0.00128815
2023Cv3;mcpuoff;NPV;37.62439670;0.00145376
2023Cv3;data;NPVGood;33.85086162;0.01188203
2023Cv3;mc;NPVGood;36.82789099;0.00121958
2023Cv3;mcpuoff;NPVGood;35.03279755;0.00138148
2023Cv3;data;Mu;48.1873;8.27157
2023Cv3;mc;Mu;48.5107;0.00164574
2023Cv3;mcpuoff;Mu;51.2595;0.00149121
2023Cv4_nib1;data;RhoAll;30.93043415;0.00439501
2023Cv4_nib1;mc;RhoAll;34.14891142;0.00128985
2023Cv4_nib1;mcpuoff;RhoAll;33.26786431;0.00141152
2023Cv4_nib1;data;Rho_C;31.45706120;0.00465434
2023Cv4_nib1;mc;Rho_C;34.42736760;0.00125659
2023Cv4_nib1;mcpuoff;Rho_C;33.57266869;0.00137730
2023Cv4_nib1;data;Rho_CCPU;22.77145633;0.00385167
2023Cv4_nib1;mc;Rho_CCPU;24.61665431;0.00104853
2023Cv4_nib1;mcpuoff;Rho_CCPU;23.92945256;0.00114879
2023Cv4_nib1;data;NPV;38.00024069;0.00528591
2023Cv4_nib1;mc;NPV;39.54059162;0.00128815
2023Cv4_nib1;mcpuoff;NPV;38.55047578;0.00140247
2023Cv4_nib1;data;NPVGood;34.84781413;0.00489948
2023Cv4_nib1;mc;NPVGood;36.82789099;0.00121958
2023Cv4_nib1;mcpuoff;NPVGood;35.89797616;0.00132963
2023Cv4_nib1;data;Mu;49.4758;3.54257
2023Cv4_nib1;mc;Mu;49.8214;0.00161251
2023Cv4_nib1;mcpuoff;Mu;51.2595;0.00149121
2023Cv4_nib2;data;RhoAll;33.76832288;0.01850104
2023Cv4_nib2;mc;RhoAll;34.14891142;0.00128985
2023Cv4_nib2;mcpuoff;RhoAll;35.84878781;0.00150348
2023Cv4_nib2;data;Rho_C;34.04245029;0.02038075
2023Cv4_nib2;mc;Rho_C;34.42736760;0.00125659
2023Cv4_nib2;mcpuoff;Rho_C;36.05047303;0.00148066
2023Cv4_nib2;data;Rho_CCPU;24.87883366;0.01703181
2023Cv4_nib2;mc;Rho_CCPU;24.61665431;0.00104853
2023Cv4_nib2;mcpuoff;Rho_CCPU;25.94750204;0.00125142
2023Cv4_nib2;data;NPV;41.70848719;0.02164177
2023Cv4_nib2;mc;NPV;39.54059162;0.00128815
2023Cv4_nib2;mcpuoff;NPV;41.39526118;0.00138021
2023Cv4_nib2;data;NPVGood;38.21736864;0.02015883
2023Cv4_nib2;mc;NPVGood;36.82789099;0.00121958
2023Cv4_nib2;mcpuoff;NPVGood;38.60200172;0.00131445
2023Cv4_nib2;data;Mu;53.8611;10.6373
2023Cv4_nib2;mc;Mu;53.983;0.00122524
2023Cv4_nib2;mcpuoff;Mu;51.2595;0.00149121
2023Dv1;data;RhoAll;29.68732919;0.00513731
2023Dv1;mc;RhoAll;34.35255767;0.00216118
2023Dv1;mcpuoff;RhoAll;32.47591027;0.00217135
2023Dv1;data;Rho_C;30.12118835;0.00539735
2023Dv1;mc;Rho_C;34.50416670;0.00209499
2023Dv1;mcpuoff;Rho_C;32.73112105;0.00211140
2023Dv1;data;Rho_CCPU;21.74206674;0.00446474
2023Dv1;mc;Rho_CCPU;24.62301097;0.00174201
2023Dv1;mcpuoff;Rho_CCPU;23.18418332;0.00175415
2023Dv1;data;NPV;36.40805770;0.00616604
2023Dv1;mc;NPV;39.75505272;0.00217828
2023Dv1;mcpuoff;NPV;37.62619774;0.00217490
2023Dv1;data;NPVGood;33.40082488;0.00572374
2023Dv1;mc;NPVGood;36.99474547;0.00206073
2023Dv1;mcpuoff;NPVGood;34.99553221;0.00206293
2023Dv1;data;Mu;48.3158;4.11124
2023Dv1;mc;Mu;48.6782;0.00256431
2023Dv1;mcpuoff;Mu;51.7475;0.00257858
2023Dv2;data;RhoAll;31.56693502;0.01006464
2023Dv2;mc;RhoAll;34.35255767;0.00216118
2023Dv2;mcpuoff;RhoAll;34.11070243;0.00207164
2023Dv2;data;Rho_C;31.80671856;0.01075871
2023Dv2;mc;Rho_C;34.50416670;0.00209499
2023Dv2;mcpuoff;Rho_C;34.28826591;0.00201512
2023Dv2;data;Rho_CCPU;23.08853397;0.00895538
2023Dv2;mc;Rho_CCPU;24.62301097;0.00174201
2023Dv2;mcpuoff;Rho_CCPU;24.44700423;0.00168171
2023Dv2;data;NPV;38.86847920;0.01224103
2023Dv2;mc;NPV;39.75505272;0.00217828
2023Dv2;mcpuoff;NPV;39.47675764;0.00203761
2023Dv2;data;NPVGood;35.60112390;0.01133675
2023Dv2;mc;NPVGood;36.99474547;0.00206073
2023Dv2;mcpuoff;NPVGood;36.73969415;0.00193191
2023Dv2;data;Mu;51.0555;7.9912
2023Dv2;mc;Mu;51.334;0.00229449
2023Dv2;mcpuoff;Mu;51.7475;0.00257858
