Category;Source;Variable;Mean;MeanError
2024BCD;data;RhoAll;30.54713541;0.00326403
2024BCD;mc;RhoAll;42.35479369;0.00143170
2024BCD;mcpuoff;RhoAll;34.26508841;0.00217203
2024BCD;data;Rho_C;31.43077450;0.00350873
2024BCD;mc;Rho_C;40.42817897;0.00136239
2024BCD;mcpuoff;Rho_C;32.97858822;0.00209212
2024BCD;data;Rho_CCPU;22.52212627;0.00291375
2024BCD;mc;Rho_CCPU;29.83594528;0.00112321
2024BCD;mcpuoff;Rho_CCPU;23.85277987;0.00171715
2024BCD;data;NPV;36.86366581;0.00373329
2024BCD;mc;NPV;47.39446532;0.00142285
2024BCD;mcpuoff;NPV;38.27028352;0.00202738
2024BCD;data;NPVGood;33.89362044;0.00348540
2024BCD;mc;NPVGood;44.09786869;0.00132277
2024BCD;mcpuoff;NPVGood;35.60289191;0.00192925
2024E;data;RhoAll;36.09263730;0.00468301
2024E;mc;RhoAll;42.35479369;0.00143170
2024E;mcpuoff;RhoAll;34.64494440;0.00221051
2024E;data;Rho_C;32.23580742;0.00439349
2024E;mc;Rho_C;40.42817897;0.00136239
2024E;mcpuoff;Rho_C;33.32696204;0.00212249
2024E;data;Rho_CCPU;22.78808551;0.00361630
2024E;mc;Rho_CCPU;29.83594528;0.00112321
2024E;mcpuoff;Rho_CCPU;24.13515038;0.00173909
2024E;data;NPV;37.80626824;0.00482227
2024E;mc;NPV;47.39446532;0.00142285
2024E;mcpuoff;NPV;38.67810291;0.00210196
2024E;data;NPVGood;34.63428240;0.00447215
2024E;mc;NPVGood;44.09786869;0.00132277
2024E;mcpuoff;NPVGood;35.98591919;0.00199670
2024F;data;RhoAll;39.39716880;0.00273497
2024F;mc;RhoAll;42.35479369;0.00143170
2024F;mcpuoff;RhoAll;37.80844056;0.00163237
2024F;data;Rho_C;34.79969436;0.00262902
2024F;mc;Rho_C;40.42817897;0.00136239
2024F;mcpuoff;Rho_C;36.27570157;0.00157289
2024F;data;Rho_CCPU;24.67137017;0.00217762
2024F;mc;Rho_CCPU;29.83594528;0.00112321
2024F;mcpuoff;Rho_CCPU;26.50744730;0.00129811
2024F;data;NPV;41.35073861;0.00283449
2024F;mc;NPV;47.39446532;0.00142285
2024F;mcpuoff;NPV;42.10397432;0.00150111
2024F;data;NPVGood;37.83598153;0.00262406
2024F;mc;NPVGood;44.09786869;0.00132277
2024F;mcpuoff;NPVGood;39.21778675;0.00142597
2024G;data;RhoAll;38.72128936;0.00212460
2024G;mc;RhoAll;42.35479369;0.00143170
2024G;mcpuoff;RhoAll;37.84698508;0.00159841
2024G;data;Rho_C;34.21500363;0.00208141
2024G;mc;Rho_C;40.42817897;0.00136239
2024G;mcpuoff;Rho_C;36.31805377;0.00154649
2024G;data;Rho_CCPU;24.00625118;0.00172274
2024G;mc;Rho_CCPU;29.83594528;0.00112321
2024G;mcpuoff;Rho_CCPU;26.54107965;0.00127993
2024G;data;NPV;41.31730274;0.00225625
2024G;mc;NPV;47.39446532;0.00142285
2024G;mcpuoff;NPV;42.12895547;0.00143170
2024G;data;NPVGood;37.68251110;0.00208304
2024G;mc;NPVGood;44.09786869;0.00132277
2024G;mcpuoff;NPVGood;39.24812389;0.00136279
2024H;data;RhoAll;38.75869425;0.00510643
2024H;mc;RhoAll;42.35479369;0.00143170
2024H;mcpuoff;RhoAll;38.28769687;0.00162658
2024H;data;Rho_C;34.21257935;0.00508168
2024H;mc;Rho_C;40.42817897;0.00136239
2024H;mcpuoff;Rho_C;36.73163017;0.00157914
2024H;data;Rho_CCPU;23.46903752;0.00417903
2024H;mc;Rho_CCPU;29.83594528;0.00112321
2024H;mcpuoff;Rho_CCPU;26.87423579;0.00131076
2024H;data;NPV;40.96354291;0.00543258
2024H;mc;NPV;47.39446532;0.00142285
2024H;mcpuoff;NPV;42.59154995;0.00142196
2024H;data;NPVGood;37.30583130;0.00500324
2024H;mc;NPVGood;44.09786869;0.00132277
2024H;mcpuoff;NPVGood;39.68894587;0.00135563
2024I;data;RhoAll;39.54288894;0.00365947
2024I;mc;RhoAll;42.35479369;0.00143170
2024I;mcpuoff;RhoAll;39.19636713;0.00152435
2024I;data;Rho_C;35.65226321;0.00368366
2024I;mc;Rho_C;40.42817897;0.00136239
2024I;mcpuoff;Rho_C;37.57064353;0.00147656
2024I;data;Rho_CCPU;24.53045555;0.00304217
2024I;mc;Rho_CCPU;29.83594528;0.00112321
2024I;mcpuoff;Rho_CCPU;27.55016242;0.00122552
2024I;data;NPV;42.40872904;0.00401228
2024I;mc;NPV;47.39446532;0.00142285
2024I;mcpuoff;NPV;43.59226617;0.00135002
2024I;data;NPVGood;38.66413790;0.00366217
2024I;mc;NPVGood;44.09786869;0.00132277
2024I;mcpuoff;NPVGood;40.62577844;0.00128401
